Norma,Número,Link,Publicación,Descripción
LEY,31026,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605429&View,30/06/2020,"LEY QUE DECLARA DE URGENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA PROMOCIÓN, ELABORACIÓN, ENVASADO, ALMACENAMIENTO, DISTRIBUCIÓN Y ABASTECIMIENTO DEL OXÍGENO MEDICINAL"
LEY,31027,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604865&View,01/07/2020,"LEY QUE MODIFICA LOS ARTÍCULOS 8 Y 9 DEL DECRETO LEGISLATIVO 1156, QUE DICTA MEDIDAS DESTINADAS A GARANTIZAR EL SERVICIO PÚBLICO DE SALUD EN LOS CASOS EN QUE EXISTA UN RIESGO ELEVADO O DAÑO A LA SALUD Y LA VIDA DE LAS POBLACIONES"
LEY,31028,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605020&View,14/07/2020,"LEY QUE DECLARA LA INAPLICABILIDAD DE LAS DISPOSICIONES ESTABLECIDAS EN LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICAS, REFERIDAS A LAS ELECCIONES PRIMARIAS PARA LAS ELECCIONES GENERALES 2021, EN EL MARCO DE LA EMERGENCIA NACIONAL SANITARIA OCASIONADA POR LA COVID - 19"
LEY,31029,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605265&View,14/07/2020,"LEY QUE FACULTA A LAS COOPERATIVAS LA REALIZACIÓN DE SESIONES NO PRESENCIALES DE ASAMBLEA GENERAL, CONSEJOS Y COMITÉS"
LEY,31030,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604626&View,23/07/2020,LEY POR LA QUE SE MODIFICAN NORMAS DE LA LEGISLACIÓN ELECTORAL PARA GARANTIZAR PARIDAD Y ALTERNANCIA DE GÉNERO EN LAS LISTAS DE CANDIDATOS
LEY,31031,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604253&View,23/07/2020,LEY QUE MODIFICA LA LEY ORGÁNICA DEL TRIBUNAL CONSTITUCIONAL PARA GARANTIZAR LA ELECCIÓN MERITOCRÁTICA Y TRANSPARENTE DE MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL
LEY,31032,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600667&View,23/07/2020,"LEY QUE MODIFICA EL ARTÍCULO 21 DE LA LEY 26859, LEY ORGÁNICA DE ELECCIONES, PARA LA CREACIÓN DE LA CIRCUNSCRIPCIÓN DE ELECTORES PERUANOS RESIDENTES EN EL EXTRANJERO"
LEY,31033,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601694&View,23/07/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL PUENTE SOBRE EL RÍO PICHIS EN EL DISTRITO DE PUERTO BERMÚDEZ DE LA PROVINCIA DE OXAPAMPA EN EL DEPARTAMENTO DE PASCO
LEY,31034,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600011&View,23/07/2020,"LEY QUE DECLARA DE INTERÉS Y NECESIDAD PÚBLICA EL MEJORAMIENTO DE LA CARRETERA DE INTEGRACIÓN ALFONSO BARRANTES LINGÁN EN LA PROVINCIA DE SAN MIGUEL, DEPARTAMENTO DE CAJAMARCA"
LEY,31035,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600892&View,25/07/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO EL MILAGRO
LEY,31036,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603682&View,14/08/2020,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE ANDRÉS ARAUJO MORÁN, EN LA PROVINCIA Y DEPARTAMENTO DE TUMBES"
LEY,31037,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605166&View,19/08/2020,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL INSTITUTO REGIONAL DE SALUD DEL NIÑO 
EN LA CIUDAD DE TRUJILLO, LA LIBERTAD"
LEY,31038,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602903&View,22/08/2020,"LEY QUE ESTABLECE NORMAS TRANSITORIAS EN LA LEGISLACIÓN ELECTORAL PARA LAS ELECCIONES GENERALES 2021, EN EL MARCO DE LA EMERGENCIA NACIONAL SANITARIA OCASIONADA POR LA COVID-19"
LEY,31039,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602401&View,26/08/2020,"LEY QUE REGULA LOS PROCESOS DE ASCENSO AUTOMÁTICO EN EL ESCALAFÓN, EL CAMBIO DE GRUPO OCUPACIONAL, CAMBIO DE LÍNEA DE CARRERA, EL NOMBRAMIENTO Y CAMBIO A PLAZO INDETERMINADO DE LOS PROFESIONALES, TÉCNICOS, AUXILIARES
ASISTENCIALES Y PERSONAL ADMINISTRATIVO DE LA SALUD"
LEY,31040,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600731&View,29/08/2020,"LEY QUE MODIFICA EL CÓDIGO PENAL Y EL CÓDIGO DE PROTECCIÓN Y DEFENSA DEL CONSUMIDOR, RESPECTO DEL ACAPARAMIENTO, ESPECULACIÓN Y ADULTERACIÓN"
LEY,31041,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605000&View,02/09/2020,LEY DE URGENCIA MÉDICA PARA LA DETECCIÓN OPORTUNA Y ATENCIÓN INTEGRAL DEL CÁNCER DEL NIÑO Y EL ADOLESCENTE.
LEY,31042,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601565&View,15/09/2020,LEY DE REFORMA CONSTITUCIONAL QUE INCORPORA EL ARTÍCULO 34-A Y EL ARTÍCULO 39-A SOBRE IMPEDIMENTOS PARA POSTULAR A CARGOS DE ELECCIÓN POPULAR O EJERCER FUNCIÓN PÚBLICA
LEY,31043,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602326&View,19/09/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SANGANI
LEY,31044,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602788&View,25/09/2020,LEY QUE DECLARA DE NECESIDAD PÚBLICA Y DE INTERÉS NACIONAL LA CONSTRUCCIÓN DE AEROPUERTO DE VICCO EN EL DEPARTAMENTO DE PASCO
LEY,31045,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600057&View,25/09/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CASCABAMBA
LEY,31046,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602513&View,26/09/2020,"LEY QUE MODIFICA EL TÍTULO VI DEL FINANCIAMIENTO DE LOS PARTIDOS POLÍTICOS DE LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICAS"
LEY,31047,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600325&View,01/10/2020,LEY DE LAS TRABAJADORAS Y TRABAJADORES DEL HOGAR
LEY,31048,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604794&View,01/10/2020,LEY QUE DECLARA EL 18 DE MAYO DE CADA AÑO DÍA NACIONAL DE LA MUJER INDÍGENA U ORIGINARIA
LEY,31049,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604795&View,01/10/2020,LEY QUE DECLARA EL 25 DE JULIO DE CADA AÑO DÍA NACIONAL DE LA MUJER AFROPERUANA
LEY,31050,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604857&View,08/10/2020,LEY QUE ESTABLECE DISPOSICIONES EXTRAORDINARIAS PARA LA REPROGRAMACIÓN Y CONGELAMIENTO DE DEUDAS A FIN DE ALIVIAR LA ECONOMÍA DE LAS PERSONAS NATURALES Y LAS MYPES COMO CONSECUENCIA DEL COVID-19
LEY,31051,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201606095&View,08/10/2020,LEY QUE AMPLIA LAS MEDIDAS DE PROTECCIÓN LABORAL PARA MUJERES GESTANTES Y MADRES LACTANTES EN CASOS DE EMERGENCIA NACIONAL SANITARIA
LEY,31052,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600706&View,10/10/2020,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO EL TAMBO, EN LA PROVINCIA DE HUALGAYOC, DEPARTAMENTO DE CAJAMARCA"
LEY,31053,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604819&View,15/10/2020,LEY QUE RECONOCE Y FOMENTA EL DERECHO A LA LECTURA Y PROMUEVE EL LIBRO
LEY,31054,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605096&View,16/10/2020,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA EJECUCIÓN DEL PROYECTO ""AMPLIACIÓN Y MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL GOYENECHE, NIVEL III-1, DEL DISTRITO DE AREQUIPA, PROVINCIA DE AREQUIPA, REGIÓN AREQUIPA"""
LEY,31055,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605841&View,21/10/2020,LE QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL HOSPITAL II-1 EN LA PROVINCIA DE CALCA DE LA REGIÓN CUSCO
LEY,31056,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604458&View,21/10/2020,LEY QUE AMPLÍA LOS PLAZOS DE LA TITULACIÓN DE TERRENOS OCUPADOS POR POSESIONES INFORMALES Y DICTA MEDIDAS PARA LA FORMALIZACIÓN
LEY,31057,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605147&View,21/10/2020,LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL USO DE MEDIOS DE PAGO ELECTRÓNICOS PARA FACILITAR EL INTERCAMBIO DE BIENES Y LA PRESTACIÓN DE SERVICIOS
RESOLUCION LEGISLATIVA,31058,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603318&View,24/10/2020,RESOLUCIÓN LEGISLATIVA QUE APRUEBA EL ACUERDO QUE ESTABLECE LA COMISIÓN BINACIONAL PARA LA GESTIÓN INTEGRADA DE LOS RECURSOS HÍDRICOS DE LAS CUENCAS HIDROGRÁFICAS TRANSFRONTERIZAS ENTRE LA REPÚBLICA DEL PERÚ Y LA REPÚBLICA DEL ECUADOR
LEY,31059,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601979&View,25/10/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CHOPCCA
LEY,31060,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600969&View,25/10/2020,LEY DE EJERCICIO PROFESIONAL DEL LICENCIADO EN ADMINISTRACIÓN
